Interseccion,Longitud,Latitud
Av. 9 de Julio y Juncal,-58.3822137,-34.5928749
Av. Córdoba y Av. 9 de Julio,-58.3826293,-34.5991809
Av. Figueroa Alcorta y La Pampa,-58.435296,-34.5530945
Av. Paseo Colón y Av. San Juan,-58.3685165,-34.6217533
Av. Santa Fe y Av. 9 de Julio,-58.3826996,-34.5955448
Av. Corrientes y Reconquista,-58.3723946,-34.6032188
Av. San Juan y Balcarce,-58.3697014,-34.6218151
Av. De Mayo y Lima,-58.3820559,-34.6090613
Av. Independencia y Lima,-58.3815901,-34.6175903
Av. Leandro N. Alem y M. T. de Alvear,-58.3723005,-34.5961677
Av. Belgrano y Balcarce,-58.3705088,-34.6124401
Av. Jujuy y Humberto 1°,-58.4026607,-34.6225567
Av. Callao y Av. Santa Fe,-58.393565,-34.5958164
Av. Callao y Av. Rivadavia,-58.3919477,-34.6089453
Av. Callao y Av. Independencia,-58.3916318,-34.6180449
Av. Santa Fe y Fray Justo Sta. Maria de Oro,-58.4243976,-34.5794366
Av. Del Libertador y Federico Lacroze,-58.4382347,-34.5630262
Av. del Libertador y Pico,-58.4662431,-34.5365789
Av. Santa Fe y Larrea,-58.4010779,-34.5948576
Av. Corrientes y Av. Pueyrredón,-58.4052969,-34.604654
Av. Belgrano y Av. Jujuy,-58.4049997,-34.6147137
Av. Independencia y Av. Jujuy,-58.4035912,-34.6189302
Av. Boedo y Av. Rivadavia,-58.4185471,-34.6111196
Av Pueyrredón y Av. Rivadavia (A),-58.4060795,-34.6100127
Av. Las Heras y Av. Pueyrredón,-58.3972082,-34.5873485
Av. J.B. Justo y Costa Rica,-58.4331384,-34.583952
Av. San Martín y Av. Juan B. Justo,-58.4580748,-34.6044733
Av. Rivadavia y Av. Pueyrredon (B),-58.4060457,-34.6101947
Av. La Plata y Rosario,-58.4286806,-34.6183917
Av. Chiclana y La Rioja,-58.4065175,-34.6302087
Av. San Juan y Av. Jujuy,-58.4021456,-34.6238496
Av. 9 de Julio y Carlos Calvo (A),-58.3812445,-34.6197891
Av. 9 de Julio y Carlos Calvo (B),-58.3807165,-34.6197234
Av. del Libertador y Campos Salles,-58.4563988,-34.5472627
